IP address,Port,TLS,Data Center,Region,City,Network Latency,Download Speed
8.219.118.250,443,true,AMS,Europe,Amsterdam,17 ms,4779 kB/s
8.219.118.250,443,true,AMS,Europe,Amsterdam,44 ms,4775 kB/s
8.219.156.29,443,true,AMS,Europe,Amsterdam,16 ms,4756 kB/s
8.219.243.102,443,true,AMS,Europe,Amsterdam,49 ms,4751 kB/s
8.219.165.67,443,true,AMS,Europe,Amsterdam,17 ms,4738 kB/s
8.219.186.120,443,true,AMS,Europe,Amsterdam,5 ms,4737 kB/s
8.219.138.216,443,true,AMS,Europe,Amsterdam,22 ms,4722 kB/s
8.219.125.236,443,true,AMS,Europe,Amsterdam,27 ms,4718 kB/s
8.222.220.63,443,true,AMS,Europe,Amsterdam,13 ms,4667 kB/s
8.222.212.188,443,true,AMS,Europe,Amsterdam,40 ms,4610 kB/s
8.219.163.196,443,true,AMS,Europe,Amsterdam,14 ms,4607 kB/s
8.219.93.32,443,true,AMS,Europe,Amsterdam,45 ms,4606 kB/s
8.217.22.201,443,true,AMS,Europe,Amsterdam,43 ms,4582 kB/s
8.219.182.42,443,true,AMS,Europe,Amsterdam,18 ms,4571 kB/s
8.212.48.236,443,true,AMS,Europe,Amsterdam,14 ms,4570 kB/s
8.219.163.196,443,true,AMS,Europe,Amsterdam,61 ms,4566 kB/s
8.219.106.217,443,true,AMS,Europe,Amsterdam,8 ms,4528 kB/s
8.219.120.124,443,true,AMS,Europe,Amsterdam,20 ms,4520 kB/s
8.219.138.216,443,true,AMS,Europe,Amsterdam,47 ms,4519 kB/s
8.219.70.218,443,true,AMS,Europe,Amsterdam,25 ms,4489 kB/s
8.219.193.233,443,true,AMS,Europe,Amsterdam,42 ms,4475 kB/s
8.219.113.184,443,true,AMS,Europe,Amsterdam,20 ms,4474 kB/s
8.219.122.232,443,true,AMS,Europe,Amsterdam,45 ms,4472 kB/s
8.219.140.176,443,true,AMS,Europe,Amsterdam,39 ms,4465 kB/s
8.219.172.175,443,true,AMS,Europe,Amsterdam,14 ms,4456 kB/s
8.219.171.231,443,true,AMS,Europe,Amsterdam,42 ms,4444 kB/s
8.219.247.15,443,true,AMS,Europe,Amsterdam,51 ms,4418 kB/s
8.219.88.53,443,true,AMS,Europe,Amsterdam,14 ms,4416 kB/s
8.222.176.242,443,true,AMS,Europe,Amsterdam,16 ms,4403 kB/s
8.219.106.217,443,true,AMS,Europe,Amsterdam,23 ms,4399 kB/s
8.219.93.32,443,true,AMS,Europe,Amsterdam,14 ms,4386 kB/s
8.222.155.141,443,true,AMS,Europe,Amsterdam,44 ms,4317 kB/s
8.219.112.173,443,true,AMS,Europe,Amsterdam,23 ms,4305 kB/s
8.218.183.231,443,true,AMS,Europe,Amsterdam,41 ms,4298 kB/s
47.251.95.178,443,true,AMS,Europe,Amsterdam,13 ms,4282 kB/s
